央视频道,#genre#
梁山综合,http://127.0.0.1:4022/udp/239.21.2.12:5002
嘉祥综合,http://127.0.0.1:4022/udp/239.21.2.84:5002
兖州新闻,http://127.0.0.1:4022/udp/239.21.1.224:5002
曲阜新闻综合,http://127.0.0.1:4022/udp/239.21.1.225:5002
邹城综合,http://127.0.0.1:4022/udp/239.21.1.185:5002
鱼台生活,http://127.0.0.1:4022/udp/239.21.2.135:5002
鱼台新闻,http://127.0.0.1:4022/udp/239.21.2.134:5002
潍坊综合,http://127.0.0.1:4022/udp/239.21.1.77:5002
潍坊经济生活,http://127.0.0.1:4022/udp/239.21.1.78:5002
潍坊高新,http://127.0.0.1:4022/udp/239.21.2.131:5002
潍坊影视综艺,http://127.0.0.1:4022/udp/239.21.2.88:5002
潍坊科教文旅,http://127.0.0.1:4022/udp/239.21.2.89:5002
高密综合,http://127.0.0.1:4022/udp/239.21.2.59:5002
安丘综合,http://127.0.0.1:4022/udp/239.21.2.13:5002
昌乐综合,http://127.0.0.1:4022/udp/239.21.1.245:5002
青州综合,http://127.0.0.1:4022/udp/239.21.1.232:5002
青州文化旅游,http://127.0.0.1:4022/udp/239.21.1.231:5002
昌邑综合,http://127.0.0.1:4022/udp/239.21.2.27:5002
临朐综合,http://127.0.0.1:4022/udp/239.21.2.62:5002
寿光蔬菜,http://127.0.0.1:4022/udp/239.21.1.218:5002
寿光综合-SD,http://127.0.0.1:4022/udp/239.21.1.180:5002
诸城新闻综合-SD,http://127.0.0.1:4022/udp/239.21.1.217:5002
滨州新闻综合-SD,http://127.0.0.1:4022/udp/239.21.1.118:5002
滨州民生-SD,http://127.0.0.1:4022/udp/239.21.1.119:5002
惠民综合-SD,http://127.0.0.1:4022/udp/239.21.1.181:5002
沾化综合,http://127.0.0.1:4022/udp/239.21.1.226:5002
阳信新闻综合,http://127.0.0.1:4022/udp/239.21.1.252:5002 
无棣综合,http://127.0.0.1:4022/udp/239.21.1.214:5002
邹平综合,http://127.0.0.1:4022/udp/239.21.1.238:5002
聊城综合,http://127.0.0.1:4022/udp/239.21.1.253:5002 
聊城民生,http://127.0.0.1:4022/udp/239.21.1.254:5002
冠县综合-SD,http://127.0.0.1:4022/udp/239.21.1.250:5002#http://127.0.0.1:4022/udp/239.21.2.149:5002
茌平综合,http://127.0.0.1:4022/udp/239.21.1.219:5002
东阿综合,http://127.0.0.1:4022/udp/239.21.2.61:5002
临清综合,http://127.0.0.1:4022/udp/239.21.2.123:5002
东营广饶综合,http://127.0.0.1:4022/udp/239.21.1.193:5002
东营新闻综合-SD,http://127.0.0.1:4022/udp/239.21.1.81:5002
东营公共-SD,http://127.0.0.1:4022/udp/239.21.1.82:5002
日照岚山,http://127.0.0.1:4022/udp/239.21.1.209:5002
日照新闻综合-SD,http://127.0.0.1:4022/udp/239.21.1.79:5002
日照公共-SD,http://127.0.0.1:4022/udp/239.21.2.81:5002
日照科教-SD,http://127.0.0.1:4022/udp/239.21.1.80:5002
日照五莲综合-SD,http://127.0.0.1:4022/udp/239.21.1.249:5002

4K频道,#genre#
BesT-4K,http://127.0.0.1:4022/udp/239.21.2.71:5002
CCTV4K,http://127.0.0.1:4022/udp/239.21.2.152:5002

数字频道,#genre#
CHC动作电影,http://127.0.0.1:4022/udp/239.21.2.128:5002
CHC影迷电影,http://127.0.0.1:4022/udp/239.21.2.127:5002
CHC家庭影院,http://127.0.0.1:4022/udp/239.21.2.126:5002
精彩影视,http://127.0.0.1:4022/udp/239.21.2.91:5002
重温经典,http://127.0.0.1:4022/udp/239.21.2.77:5002
都市剧场,http://127.0.0.1:4022/udp/239.21.2.90:5002#http://127.0.0.1:4022/udp/239.21.2.82:5002
求索纪录,http://127.0.0.1:4022/udp/239.21.2.159:5002
北京纪实,http://127.0.0.1:4022/udp/239.21.1.172:5002
金鹰纪实,http://127.0.0.1:4022/udp/239.21.1.170:5002
海洋频道,http://127.0.0.1:4022/udp/239.21.2.119:5002
乐游,http://127.0.0.1:4022/udp/239.21.2.104:5002
重庆汽摩,http://127.0.0.1:4022/udp/239.21.2.142:5002
生活时尚,http://127.0.0.1:4022/udp/239.21.2.103:5002
东方财经,http://127.0.0.1:4022/udp/239.21.2.108:5002
中国交通,http://127.0.0.1:4022/udp/239.21.1.115:5002
法治天地,http://127.0.0.1:4022/udp/239.21.2.105:5002
快乐垂钓,http://127.0.0.1:4022/udp/239.21.2.97:5002
茶频道,http://127.0.0.1:4022/udp/239.21.2.110:5002
梨园频道,http://127.0.0.1:4022/udp/239.21.2.101:5002
武术世界,http://127.0.0.1:4022/udp/239.21.2.96:5002
文物宝库,http://127.0.0.1:4022/udp/239.21.2.109:5002
魅力足球,http://127.0.0.1:4022/udp/239.21.2.95:5002
游戏风云,http://127.0.0.1:4022/udp/239.21.2.107:5002

有线标清,#genre#
喜剧影院,http://127.0.0.1:4022/udp/239.21.1.122:5002
动作影院,http://127.0.0.1:4022/udp/239.21.1.123:5002
华数光影,http://127.0.0.1:4022/udp/239.21.1.131:5002
华数动漫-SD,http://127.0.0.1:4022/udp/239.21.1.125:5002
经典电影-SD,http://127.0.0.1:4022/udp/239.21.1.124:5002
热播剧场-SD,http://127.0.0.1:4022/udp/239.21.1.128:5002
华数剧集-SD,http://127.0.0.1:4022/udp/239.21.1.129:5002
相声小品,http://127.0.0.1:4022/udp/239.21.1.126:5002
墨宝,http://127.0.0.1:4022/udp/239.21.1.130:5002
美人,http://127.0.0.1:4022/udp/239.21.1.132:5002
